#period	period time	calc time
1	3993	1751
2	4001	2254
3	3995	2000
4	4001	1747
5	4243	1749
6	3745	2262
7	4249	2505
8	3997	2750
9	3997	2499
10	4003	2995
11	4497	2745
12	3991	2501
13	3498	2508
14	3748	1750
15	4000	1743
16	3993	2253
17	4497	2251
18	3745	2501
19	4000	2251
20	3999	2248
21	3994	2501
22	3998	2256
23	3997	2501
24	3998	2250
25	4002	2245
26	3991	2506
27	3999	2250
28	3996	2498
29	4004	2245
30	3989	2256
31	3999	2750
32	3997	2259
33	3997	2503
34	4002	2247
35	3993	2249
36	3995	2759
37	4000	2256
38	3998	2761
39	3996	2255
40	4004	2246
41	3996	2741
42	3992	2253
43	3996	2758
44	3999	2250
45	4250	1998
46	3993	2498
47	3997	2508
48	3747	2755
49	3997	2250
50	4247	2499
51	3753	2747
52	4246	1997
53	3743	2750
54	4246	2508
55	3998	2505
56	3999	2498
57	3995	2499
58	3995	2510
59	4000	2506
60	3997	2502
61	3996	2500
62	4003	2743
63	3995	2747
64	3992	2501
65	3999	2506
66	3997	2752
67	3997	2500
68	3997	2749
69	3996	2511
70	3999	2505
71	3998	2750
72	3997	2499
73	4003	2745
74	3998	2495
75	3992	2500
76	3996	2757
77	3998	2754
78	3996	2752
79	3997	1998
80	3995	2508
81	3999	2755
82	3998	2498
83	3994	2754
84	4000	2497
85	3999	2496
86	3995	2749
87	3997	2510
88	3999	2754
89	3997	2748
90	3999	1996
91	3996	3002
92	3997	2254
93	3996	3000
94	3996	2500
95	4006	2492
96	3993	2750
97	3993	2500
98	3997	2758
99	3998	2506
100	3996	2500
101	4000	2746
102	3995	2751
103	3997	2506
104	3998	2262
105	3997	2503
106	4002	2996
107	3996	2497
108	3993	2501
109	3997	2258
110	4000	2503
111	3995	2501
112	3997	2248
113	3990	2511
114	4002	2258
115	4001	2250
116	3997	2500
117	3997	2250
118	3998	2500
119	3998	2249
120	3996	2250
121	3996	2501
122	3998	2250
123	3998	2500
124	3996	3002
